(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-14743;CANALETA PARA DRENAGEM, EM CONCRETOTRANSPORTE DE MATERIAL DEMOLIDO EM CAÇAMBA ;ED-51125 ;m3    ;0,3000000;30,00;9,00;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-14723;CANALETA PARA DRENAGEM, EM CONCRETOAPILOAMENTO DO FUNDO DE VALAS COM SOQUETE ;ED-51093 ;m2    ;0,8400000;18,06;15,17;
Serviço: ED-14723;CANALETA PARA DRENAGEM, EM CONCRETOAPLICAÇÃO DE LONA PRETA, ESP. 150 MICRAS, INCLUSIVE FORNECIMENTO ;ED-50600 ;m2    ;2,6040000;2,44;6,35;
Serviço: ED-14723;CANALETA PARA DRENAGEM, EM CONCRETOCORTE, DOBRA E MONTAGEM DE AÇO CA-50 DIÂMETRO (6,3MM A 12, 5MM) ;ED-48295 ;Kg    ;2,9400000;13,71;40,30;
Serviço: ED-14723;CANALETA PARA DRENAGEM, EM CONCRETOCORTE, DOBRA E MONTAGEM DE AÇO CA-60 DIÂMETRO (4,2MM A 5,0MM) ;ED-48297 ;Kg    ;2,6980800;15,37;41,46;
Serviço: ED-14723;CANALETA PARA DRENAGEM, EM CONCRETOESCAVAÇÃO MANUAL DE VALA COM PROFUNDIDADE  MENOR OU IGUAL A 1,5M ;ED-51107 ;m3    ;0,6048000;53,41;32,30;
Serviço: ED-14723;CANALETA PARA DRENAGEM, EM CONCRETOFORMA E DESFORMA DE COMPENSADO RESINADO, ESP. 12MM, REAPROVEITAMENTO (3X) ( FUNDAÇÃO) ;ED-49811 ;m2    ;1,2000000;51,53;61,83;
Serviço: ED-14723;CANALETA PARA DRENAGEM, EM CONCRETOFORNECIMENTO DE CONCRETO NÃO ESTRUTURAL, USINADO, COM FCK 15 MPA, INCLUSIVE LANÇAMENTO, ADENSAMENTO E ACABAMENTO (FUNDAÇÃO) ;ED-49795 ;m3    ;0,2570400;421,36;108,30;
Serviço: ED-14723;CANALETA PARA DRENAGEM, EM CONCRETOTRANSPORTE DE MATERIAL DEMOLIDO EM CAÇAMBA ;ED-51125 ;m3    ;0,6048000;30,00;18,14;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-14744;CANALETA PARA DRENAGEM, EM CONCRETOAPILOAMENTO DO FUNDO DE VALAS COM SOQUETE ;ED-51093 ;m2    ;1,0000000;18,06;18,06;
Serviço: ED-14744;CANALETA PARA DRENAGEM, EM CONCRETOAPLICAÇÃO DE LONA PRETA, ESP. 150 MICRAS, INCLUSIVE FORNECIMENTO ;ED-50600 ;m2    ;1,0500000;2,44;2,56;
Serviço: ED-14744;CANALETA PARA DRENAGEM, EM CONCRETOCORTE, DOBRA E MONTAGEM DE AÇO CA-50 DIÂMETRO (6,3MM A 12, 5MM) ;ED-48295 ;Kg    ;2,9400000;13,71;40,30;
Serviço: ED-14744;CANALETA PARA DRENAGEM, EM CONCRETOCORTE, DOBRA E MONTAGEM DE AÇO CA-60 DIÂMETRO (4,2MM A 5,0MM) ;ED-48297 ;Kg    ;2,6980800;15,37;41,46;
Serviço: ED-14744;CANALETA PARA DRENAGEM, EM CONCRETOESCAVAÇÃO MANUAL DE VALA COM PROFUNDIDADE  MENOR OU IGUAL A 1,5M ;ED-51107 ;m3    ;0,8928000;53,41;47,68;
Serviço: ED-14744;CANALETA PARA DRENAGEM, EM CONCRETOFORMA E DESFORMA DE COMPENSADO RESINADO, ESP. 12MM, REAPROVEITAMENTO (3X) ( FUNDAÇÃO) ;ED-49811 ;m2    ;2,8800000;51,53;148,40;
Serviço: ED-14744;CANALETA PARA DRENAGEM, EM CONCRETOFORNECIMENTO DE CONCRETO NÃO ESTRUTURAL, USINADO, COM FCK 15 MPA, INCLUSIVE LANÇAMENTO, ADENSAMENTO E ACABAMENTO (FUNDAÇÃO) ;ED-49795 ;m3    ;0,2570400;421,36;108,30;
Serviço: ED-14744;CANALETA PARA DRENAGEM, EM CONCRETOREATERRO COMPACTADO DE VALA COM EQUIPAMENTO PLACA VIBRATÓRIA ;ED-51121 ;m3    ;0,2880000;33,41;9,62;
Serviço: ED-14744;CANALETA PARA DRENAGEM, EM CONCRETOSETOP-MG Internet: www.transportes.mg.gov.br FONE: (31) 3915 8309 - FAX: (31) 3915 8352 Rodovia Papa João Paulo ii, nº 4.143 (mg 010), Prédio Minas, 7º Andar - Serra Verde - cep 31630-901 - BH / MG SECRETARIA DE ESTADO DE TRANSPORTES E OBRAS PÚBLICAS Página: 823 de 3459 SUBSECRETARIA DE OBRAS PÚBLICAS SUPERINTENDÊNCIA DE COORDENAÇÃO TÉCNICA DIRETORIA DE CUSTOS TRANSPORTE DE MATERIAL DEMOLIDO EM CAÇAMBA ;ED-51125 ;m3    ;0,6048000;30,00;18,14;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-14724;CANALETA PARA DRENAGEM, EM CONCRETOAPILOAMENTO DO FUNDO DE VALAS COM SOQUETE ;ED-51093 ;m2    ;1,2000000;18,06;21,67;
Serviço: ED-14724;CANALETA PARA DRENAGEM, EM CONCRETOAPLICAÇÃO DE LONA PRETA, ESP. 150 MICRAS, INCLUSIVE FORNECIMENTO ;ED-50600 ;m2    ;3,6750000;2,44;8,96;
Serviço: ED-14724;CANALETA PARA DRENAGEM, EM CONCRETOCORTE, DOBRA E MONTAGEM DE AÇO CA-50 DIÂMETRO (6,3MM A 12, 5MM) ;ED-48295 ;Kg    ;9,2600000;13,71;126,95;
Serviço: ED-14724;CANALETA PARA DRENAGEM, EM CONCRETOCORTE, DOBRA E MONTAGEM DE AÇO CA-60 DIÂMETRO (4,2MM A 5,0MM) ;ED-48297 ;Kg    ;4,5460800;15,37;69,87;
Serviço: ED-14724;CANALETA PARA DRENAGEM, EM CONCRETOESCAVAÇÃO MANUAL DE VALA COM PROFUNDIDADE  MENOR OU IGUAL A 1,5M ;ED-51107 ;m3    ;1,2600000;53,41;67,29;
Serviço: ED-14724;CANALETA PARA DRENAGEM, EM CONCRETOFORMA E DESFORMA DE COMPENSADO RESINADO, ESP. 12MM, REAPROVEITAMENTO (3X) ( FUNDAÇÃO) ;ED-49811 ;m2    ;1,8000000;51,53;92,75;
Serviço: ED-14724;CANALETA PARA DRENAGEM, EM CONCRETOFORNECIMENTO DE CONCRETO NÃO ESTRUTURAL, USINADO, COM FCK 15 MPA, INCLUSIVE LANÇAMENTO, ADENSAMENTO E ACABAMENTO (FUNDAÇÃO) ;ED-49795 ;m3    ;0,4725000;421,36;199,09;
Serviço: ED-14724;CANALETA PARA DRENAGEM, EM CONCRETOTRANSPORTE DE MATERIAL DEMOLIDO EM CAÇAMBA ;ED-51125 ;m3    ;1,2600000;30,00;37,80;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-14745;CANALETA PARA DRENAGEM, EM CONCRETOAPILOAMENTO DO FUNDO DE VALAS COM SOQUETE ;ED-51093 ;m2    ;1,3000000;18,06;23,47;
Serviço: ED-14745;CANALETA PARA DRENAGEM, EM CONCRETOAPLICAÇÃO DE LONA PRETA, ESP. 150 MICRAS, INCLUSIVE FORNECIMENTO ;ED-50600 ;m2    ;1,3650000;2,44;3,33;
Serviço: ED-14745;CANALETA PARA DRENAGEM, EM CONCRETOCORTE, DOBRA E MONTAGEM DE AÇO CA-50 DIÂMETRO (6,3MM A 12, 5MM) ;ED-48295 ;Kg    ;9,2600000;13,71;126,95;
Serviço: ED-14745;CANALETA PARA DRENAGEM, EM CONCRETOCORTE, DOBRA E MONTAGEM DE AÇO CA-60 DIÂMETRO (4,2MM A 5,0MM) ;ED-48297 ;Kg    ;4,5460800;15,37;69,87;
Serviço: ED-14745;CANALETA PARA DRENAGEM, EM CONCRETOESCAVAÇÃO MANUAL DE VALA COM PROFUNDIDADE  MENOR OU IGUAL A 1,5M ;ED-51107 ;m3    ;1,6800000;53,41;89,72;
Serviço: ED-14745;CANALETA PARA DRENAGEM, EM CONCRETOFORMA E DESFORMA DE COMPENSADO RESINADO, ESP. 12MM, REAPROVEITAMENTO (3X) ( FUNDAÇÃO) ;ED-49811 ;m2    ;4,2000000;51,53;216,42;
Serviço: ED-14745;CANALETA PARA DRENAGEM, EM CONCRETOFORNECIMENTO DE CONCRETO NÃO ESTRUTURAL, USINADO, COM FCK 15 MPA, INCLUSIVE LANÇAMENTO, ADENSAMENTO E ACABAMENTO (FUNDAÇÃO) ;ED-49795 ;m3    ;0,4725000;421,36;199,09;
Serviço: ED-14745;CANALETA PARA DRENAGEM, EM CONCRETOREATERRO COMPACTADO DE VALA COM EQUIPAMENTO PLACA VIBRATÓRIA ;ED-51121 ;m3    ;0,4200000;33,41;14,03;
Serviço: ED-14745;CANALETA PARA DRENAGEM, EM CONCRETOSETOP-MG Internet: www.transportes.mg.gov.br FONE: (31) 3915 8309 - FAX: (31) 3915 8352 Rodovia Papa João Paulo ii, nº 4.143 (mg 010), Prédio Minas, 7º Andar - Serra Verde - cep 31630-901 - BH / MG SECRETARIA DE ESTADO DE TRANSPORTES E OBRAS PÚBLICAS Página: 827 de 3459 SUBSECRETARIA DE OBRAS PÚBLICAS SUPERINTENDÊNCIA DE COORDENAÇÃO TÉCNICA DIRETORIA DE CUSTOS TRANSPORTE DE MATERIAL DEMOLIDO EM CAÇAMBA ;ED-51125 ;m3    ;1,2600000;30,00;37,80;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-48552;CANALETA PARA DRENAGEM, PRÉ-MOLDADA,APILOAMENTO DO FUNDO DE VALAS COM SOQUETE ;ED-51093 ;m2    ;0,3600000;18,06;6,50;
Serviço: ED-48552;CANALETA PARA DRENAGEM, PRÉ-MOLDADA,ARGAMASSA, TRAÇO 1:3 ( CIMENTO E AREIA), PREPARO MECÂNICO ;ED-48302 ;m3    ;0,0003563;458,72;0,16;
Serviço: ED-48552;CANALETA PARA DRENAGEM, PRÉ-MOLDADA,ESCAVAÇÃO MANUAL DE VALA COM PROFUNDIDADE  MENOR OU IGUAL A 1,5M ;ED-51107 ;m3    ;0,1188000;53,41;6,34;
Serviço: ED-48552;CANALETA PARA DRENAGEM, PRÉ-MOLDADA,PEDREIRO COM ENCARGOS COMPLEMENTARES ;ED-50381 ;hora  ;0,2095238;22,09;4,62;
Serviço: ED-48552;CANALETA PARA DRENAGEM, PRÉ-MOLDADA,SERVENTE COM ENCARGOS COMPLEMENTARES ;ED-50367 ;hora  ;0,4190476;15,71;6,58;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-48553;CANALETA PARA DRENAGEM, PRÉ-MOLDADA,APILOAMENTO DO FUNDO DE VALAS COM SOQUETE ;ED-51093 ;m2    ;0,4800000;18,06;8,66;
Serviço: ED-48553;CANALETA PARA DRENAGEM, PRÉ-MOLDADA,ARGAMASSA, TRAÇO 1:3 ( CIMENTO E AREIA), PREPARO MECÂNICO ;ED-48302 ;m3    ;0,0006333;458,72;0,29;
Serviço: ED-48553;CANALETA PARA DRENAGEM, PRÉ-MOLDADA,ESCAVAÇÃO MANUAL DE VALA COM PROFUNDIDADE  MENOR OU IGUAL A 1,5M ;ED-51107 ;m3    ;0,2112000;53,41;11,28;
Serviço: ED-48553;CANALETA PARA DRENAGEM, PRÉ-MOLDADA,PEDREIRO COM ENCARGOS COMPLEMENTARES ;ED-50381 ;hora  ;0,2291666;22,09;5,06;
Serviço: ED-48553;CANALETA PARA DRENAGEM, PRÉ-MOLDADA,SERVENTE COM ENCARGOS COMPLEMENTARES ;ED-50367 ;hora  ;0,4583333;15,71;7,20;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-48554;CANALETA PARA DRENAGEM, PRÉ-MOLDADA,APILOAMENTO DO FUNDO DE VALAS COM SOQUETE ;ED-51093 ;m2    ;0,6000000;18,06;10,83;
Serviço: ED-48554;CANALETA PARA DRENAGEM, PRÉ-MOLDADA,ARGAMASSA, TRAÇO 1:3 ( CIMENTO E AREIA), PREPARO MECÂNICO ;ED-48302 ;m3    ;0,0009896;458,72;0,45;
Serviço: ED-48554;CANALETA PARA DRENAGEM, PRÉ-MOLDADA,ESCAVAÇÃO MANUAL DE VALA COM PROFUNDIDADE  MENOR OU IGUAL A 1,5M ;ED-51107 ;m3    ;0,3300000;53,41;17,62;
Serviço: ED-48554;CANALETA PARA DRENAGEM, PRÉ-MOLDADA,PEDREIRO COM ENCARGOS COMPLEMENTARES ;ED-50381 ;hora  ;0,2528735;22,09;5,58;
Serviço: ED-48554;CANALETA PARA DRENAGEM, PRÉ-MOLDADA,SERVENTE COM ENCARGOS COMPLEMENTARES ;ED-50367 ;hora  ;0,5057471;15,71;7,94;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-48555;CANALETA PARA DRENAGEM, PRÉ-MOLDADA,APILOAMENTO DO FUNDO DE VALAS COM SOQUETE ;ED-51093 ;m2    ;0,7200000;18,06;13,00;
Serviço: ED-48555;CANALETA PARA DRENAGEM, PRÉ-MOLDADA,ARGAMASSA, TRAÇO 1:3 ( CIMENTO E AREIA), PREPARO MECÂNICO ;ED-48302 ;m3    ;0,0011545;458,72;0,52;
Serviço: ED-48555;CANALETA PARA DRENAGEM, PRÉ-MOLDADA,ESCAVAÇÃO MANUAL DE VALA COM PROFUNDIDADE  MENOR OU IGUAL A 1,5M ;ED-51107 ;m3    ;0,4752000;53,41;25,38;
Serviço: ED-48555;CANALETA PARA DRENAGEM, PRÉ-MOLDADA,PEDREIRO COM ENCARGOS COMPLEMENTARES ;ED-50381 ;hora  ;0,2820512;22,09;6,23;
Serviço: ED-48555;CANALETA PARA DRENAGEM, PRÉ-MOLDADA,SERVENTE COM ENCARGOS COMPLEMENTARES ;ED-50367 ;hora  ;0,5641025;15,71;8,86;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-48562;CANALETA SANITÁRIA, SEÇÃO 5X8CM, EMARGAMASSA, TRAÇO 1:3 ( CIMENTO E AREIA) COM ADITIVO IMPERMEABILIZANTE, PREPARO MECÂNICO ;ED-9129 ;m3    ;0,0102375;501,09;5,12;
Serviço: ED-48562;CANALETA SANITÁRIA, SEÇÃO 5X8CM, EMPEDREIRO COM ENCARGOS COMPLEMENTARES ;ED-50381 ;hora  ;0,4583333;22,09;10,12;
Serviço: ED-48562;CANALETA SANITÁRIA, SEÇÃO 5X8CM, EMSERVENTE COM ENCARGOS COMPLEMENTARES ;ED-50367 ;hora  ;0,4583333;15,71;7,20;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-50218;CANOPLA PARA SPRINKLERAJUDANTE DE BOMBEIRO/ ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50363 ;hora  ;0,1000000;16,32;1,63;
Serviço: ED-50218;CANOPLA PARA SPRINKLERBOMBEIRO/ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50374 ;hora  ;0,1000000;21,60;2,16;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-50721;CANTONEIRA DE ALUMÍNIO PARAPEDREIRO COM ENCARGOS COMPLEMENTARES ;ED-50381 ;hora  ;0,4000000;22,09;8,83;
Serviço: ED-50721;CANTONEIRA DE ALUMÍNIO PARASERVENTE COM ENCARGOS COMPLEMENTARES ;ED-50367 ;hora  ;0,4000000;15,71;6,28;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-50720;CANTONEIRA DE PVC PARA ACABAMENTO DEAZULEJISTA COM ENCARGOS COMPLEMENTARES ;ED-50369 ;hora  ;0,4000000;24,18;9,67;
Serviço: ED-50720;CANTONEIRA DE PVC PARA ACABAMENTO DESERVENTE COM ENCARGOS COMPLEMENTARES ;ED-50367 ;hora  ;0,4000000;15,71;6,28;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-50701;CAPINA MANUAL DO TERRENO, EXCLUSIVESERVENTE COM ENCARGOS COMPLEMENTARES ;ED-50367 ;hora  ;0,0666666;15,71;1,04;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-51131;CARGA DE MATERIAL DE QUALQUERSERVENTE COM ENCARGOS COMPLEMENTARES ;ED-50367 ;hora  ;2,0000000;15,71;31,42;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-51132;CARGA DE MATERIAL DE QUALQUERSERVENTE COM ENCARGOS COMPLEMENTARES ;ED-50367 ;hora  ;0,0200000;15,71;0,31;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-50371;CARPINTEIRO DE ESQUADRIA COMCURSO DE CAPACITAÇÃO PARA CARPINTEIRO DE ESQUADRIA (ENCARGOS COMPLEMENTARES) - HORISTA ;ED-5230 ;hora  ;1,0000000;0,16;0,16;
Serviço: ED-50371;CARPINTEIRO DE ESQUADRIA COMEPI PARA CARPINTEIRO DE ESQUADRIA - HORISTA ( ENCARGOS COMPLEMENTARES) ;ED-14649 ;hora  ;1,0000000;1,05;1,05;
Serviço: ED-50371;CARPINTEIRO DE ESQUADRIA COMFERRAMENTAS PARA CARPINTEIRO DE ESQUADRIA - HORISTA ( ENCARGOS COMPLEMENTARES) ;ED-14685 ;hora  ;1,0000000;0,38;0,38;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-50372;CARPINTEIRO DE FORMA COM ENCARGOSCURSO DE CAPACITAÇÃO PARA CARPINTEIRO DE FÔRMAS (ENCARGOS COMPLEMENTARES) - HORISTA ;ED-5231 ;hora  ;1,0000000;0,14;0,14;
Serviço: ED-50372;CARPINTEIRO DE FORMA COM ENCARGOSEPI PARA CARPINTEIRO DE FORMA - HORISTA ( ENCARGOS COMPLEMENTARES) ;ED-14648 ;hora  ;1,0000000;1,05;1,05;
Serviço: ED-50372;CARPINTEIRO DE FORMA COM ENCARGOSFERRAMENTAS PARA CARPINTEIRO DE FORMA - HORISTA (ENCARGOS COMPLEMENTARES) ;ED-14684 ;hora  ;1,0000000;0,38;0,38;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-50726;CERÂMICA DECORADA EM FAIXA 50 X 200 MMAPLICAÇÃO DE REJUNTE CIMENTÍCIO COLORIDO INDUSTRIALIZADO PARA REVESTIMENTOS DE PAREDE/PISO COM JUNTAS DE ATÉ 3MM DE ESPESSURA ;ED-50718 ;m2    ;0,5000000;4,54;2,27;
Serviço: ED-50726;CERÂMICA DECORADA EM FAIXA 50 X 200 MMAZULEJISTA COM ENCARGOS COMPLEMENTARES ;ED-50369 ;hora  ;0,6500000;24,18;15,71;
Serviço: ED-50726;CERÂMICA DECORADA EM FAIXA 50 X 200 MMSERVENTE COM ENCARGOS COMPLEMENTARES ;ED-50367 ;hora  ;0,3250000;15,71;5,10;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-48384;CERCA DE MOURÃO H = 2,15 M - MOURÃO PRÉPEDREIRO COM ENCARGOS COMPLEMENTARES ;ED-50381 ;hora  ;0,5000000;22,09;11,04;
Serviço: ED-48384;CERCA DE MOURÃO H = 2,15 M - MOURÃO PRÉSERVENTE COM ENCARGOS COMPLEMENTARES ;ED-50367 ;hora  ;0,5000000;15,71;7,85;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-48385;CERCA DE MOURÃO H = 2,80 M - MOURÃO PRÉPEDREIRO COM ENCARGOS COMPLEMENTARES ;ED-50381 ;hora  ;0,5000000;22,09;11,04;
Serviço: ED-48385;CERCA DE MOURÃO H = 2,80 M - MOURÃO PRÉSERVENTE COM ENCARGOS COMPLEMENTARES ;ED-50367 ;hora  ;1,0000000;15,71;15,71;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-48386;CERCA DE MOURÃO H = 2,80 M - MOURÃO PRÉCONCRETO NÃO ESTRUTURAL, PREPARADO EM OBRA COM BETONEIRA , CONTROLE "B", COM FCK 15 MPA, BRITA Nº (1 E 2), CONSISTÊNCIA PARA VIBRAÇÃO (FABRICAÇÃO) ;ED-48315 ;m3    ;0,1900000;390,10;74,11;
Serviço: ED-48386;CERCA DE MOURÃO H = 2,80 M - MOURÃO PRÉSETOP-MG Internet: www.transportes.mg.gov.br FONE: (31) 3915 8309 - FAX: (31) 3915 8352 Rodovia Papa João Paulo ii, nº 4.143 (mg 010), Prédio Minas, 7º Andar - Serra Verde - cep 31630-901 - BH / MG SECRETARIA DE ESTADO DE TRANSPORTES E OBRAS PÚBLICAS Página: 847 de 3459 SUBSECRETARIA DE OBRAS PÚBLICAS SUPERINTENDÊNCIA DE COORDENAÇÃO TÉCNICA DIRETORIA DE CUSTOS ESCAVAÇÃO MANUAL DE VALA COM PROFUNDIDADE  MENOR OU IGUAL A 1,5M ;ED-51107 ;m3    ;0,2000000;53,41;10,68;
Serviço: ED-48386;CERCA DE MOURÃO H = 2,80 M - MOURÃO PRÉPEDREIRO COM ENCARGOS COMPLEMENTARES ;ED-50381 ;hora  ;0,8000000;22,09;17,67;
Serviço: ED-48386;CERCA DE MOURÃO H = 2,80 M - MOURÃO PRÉSERVENTE COM ENCARGOS COMPLEMENTARES ;ED-50367 ;hora  ;1,6000000;15,71;25,13;
Serviço: ED-48386;CERCA DE MOURÃO H = 2,80 M - MOURÃO PRÉTRANSPORTE, LANÇAMENTO E ADENSAMENTO E ACABAMENTO DE CONCRETO EM FUNDAÇÃO /RADIER ;ED-48324 ;m3    ;0,1900000;85,52;16,24;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-50136;CERCA DE 5 FIOS DE ARAME FARPA DO EPEDREIRO COM ENCARGOS COMPLEMENTARES ;ED-50381 ;hora  ;0,4000000;22,09;8,83;
Serviço: ED-50136;CERCA DE 5 FIOS DE ARAME FARPA DO ESERVENTE COM ENCARGOS COMPLEMENTARES ;ED-50367 ;hora  ;0,8000000;15,71;12,56;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-50431;CERCA EM FERRO, TRIANGULAR, PADRÃOPEDREIRO COM ENCARGOS COMPLEMENTARES ;ED-50381 ;hora  ;0,5000000;22,09;11,04;
Serviço: ED-50431;CERCA EM FERRO, TRIANGULAR, PADRÃOSERVENTE COM ENCARGOS COMPLEMENTARES ;ED-50367 ;hora  ;0,5000000;15,71;7,85;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-48568;CHAMINÉ DE POÇO DE VISITA TIPO "A", EMALVENARIA DE VEDAÇÃO COM TIJOLO MACIÇO REQUEIMADO, ESP. 20CM, PARA REVESTIMENTO, INCLUSIVE ARGAMASSA PARA ASSENTAMENTO ;ED-48228 ;m2    ;3,2700000;140,83;460,51;
Serviço: ED-48568;CHAMINÉ DE POÇO DE VISITA TIPO "A", EMARGAMASSA, TRAÇO 1:3 ( CIMENTO E AREIA), PREPARO MECÂNICO ;ED-48302 ;m3    ;0,0500000;458,72;22,93;
Serviço: ED-48568;CHAMINÉ DE POÇO DE VISITA TIPO "A", EMPEDREIRO COM ENCARGOS COMPLEMENTARES ;ED-50381 ;hora  ;2,0000000;22,09;44,18;
Serviço: ED-48568;CHAMINÉ DE POÇO DE VISITA TIPO "A", EMSERVENTE COM ENCARGOS COMPLEMENTARES ;ED-50367 ;hora  ;2,0000000;15,71;31,42;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-48569;CHAMINÉ DE POÇO DE VISITA TIPO "B", EMARGAMASSA, TRAÇO 1:3 ( CIMENTO E AREIA), PREPARO MECÂNICO ;ED-48302 ;m3    ;0,0300000;458,72;13,76;
Serviço: ED-48569;CHAMINÉ DE POÇO DE VISITA TIPO "B", EMPEDREIRO COM ENCARGOS COMPLEMENTARES ;ED-50381 ;hora  ;1,0000000;22,09;22,09;
Serviço: ED-48569;CHAMINÉ DE POÇO DE VISITA TIPO "B", EMSERVENTE COM ENCARGOS COMPLEMENTARES ;ED-50367 ;hora  ;1,0000000;15,71;15,71;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-50667;CHAPIM METÁLICO, COM PINGADEIRA, CHAPAARGAMASSA, TRAÇO 1:4 ( CIMENTO E AREIA), PREPARO MECÂNICO ;ED-48303 ;m3    ;0,0020000;389,75;0,77;
Serviço: ED-50667;CHAPIM METÁLICO, COM PINGADEIRA, CHAPAPEDREIRO COM ENCARGOS COMPLEMENTARES ;ED-50381 ;hora  ;1,0000000;22,09;22,09;
Serviço: ED-50667;CHAPIM METÁLICO, COM PINGADEIRA, CHAPASERVENTE COM ENCARGOS COMPLEMENTARES ;ED-50367 ;hora  ;1,0000000;15,71;15,71;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-50731;CHAPISCO COM ARGAMASSAPEDREIRO COM ENCARGOS COMPLEMENTARES ;ED-50381 ;hora  ;0,1500000;22,09;3,31;
Serviço: ED-50731;CHAPISCO COM ARGAMASSASERVENTE COM ENCARGOS COMPLEMENTARES ;ED-50367 ;hora  ;0,2200000;15,71;3,45;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-50730;CHAPISCO COM ARGAMASSA, TRAÇO 1:2:3 (ARGAMASSA, TRAÇO 1:2:3 ( CIMENTO, AREIA E PEDRISCO), PREPARO MECÂNICO ;ED-9067 ;m3    ;0,0055000;541,43;2,97;
Serviço: ED-50730;CHAPISCO COM ARGAMASSA, TRAÇO 1:2:3 (PEDREIRO COM ENCARGOS COMPLEMENTARES ;ED-50381 ;hora  ;0,2000000;22,09;4,41;
Serviço: ED-50730;CHAPISCO COM ARGAMASSA, TRAÇO 1:2:3 (SERVENTE COM ENCARGOS COMPLEMENTARES ;ED-50367 ;hora  ;0,2000000;15,71;3,14;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-50729;CHAPISCO COM ARGAMASSA, TRAÇO 1:3 (ARGAMASSA, TRAÇO 1:3 ( CIMENTO E AREIA), PREPARO MECÂNICO ;ED-48302 ;m3    ;0,0055000;458,72;2,52;
Serviço: ED-50729;CHAPISCO COM ARGAMASSA, TRAÇO 1:3 (PEDREIRO COM ENCARGOS COMPLEMENTARES ;ED-50381 ;hora  ;0,2000000;22,09;4,41;
Serviço: ED-50729;CHAPISCO COM ARGAMASSA, TRAÇO 1:3 (SERVENTE COM ENCARGOS COMPLEMENTARES ;ED-50367 ;hora  ;0,2000000;15,71;3,14;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-50727;CHAPISCO COM ARGAMASSA, TRAÇO 1:3 (ARGAMASSA, TRAÇO 1:3 ( CIMENTO E AREIA), PREPARO MECÂNICO ;ED-48302 ;m3    ;0,0055000;458,72;2,52;
Serviço: ED-50727;CHAPISCO COM ARGAMASSA, TRAÇO 1:3 (PEDREIRO COM ENCARGOS COMPLEMENTARES ;ED-50381 ;hora  ;0,1200000;22,09;2,65;
